,id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,specifications,categories
0,260811707,Muôn Kiếp Nhân Sinh 3 (Bìa Mềm),171000,218000,47000,22,5.0,111,"Nối tiếp câu chuyện và tinh thần của tập 1 và tập 2, “Muôn Kiếp Nhân Sinh –tập 3” tiếp tục đưa bạn đọc đi qua hành trình thức tỉnh tâm linh của nhân vậtchính Thomas. Không chỉ là hồi tiếp theo trong c...",2073,['Nguyên Phong'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'First News - Trí Việt'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2023-05-01 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '14.5 x 20.5 cm'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '604'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Sách Tôn Giáo - Tâm Linh
1,262434068,"Muôn Kiếp Nhân Sinh - Many Times, Many Lives - Tập 3",165680,218000,52320,24,5.0,77,"    Muôn Kiếp Nhân Sinh - Many Times, Many Lives - Tập 3   Nối tiếp câu chuyện và tinh thần của tập 1 và tập 2, “Muôn Kiếp Nhân Sinh – tập 3” tiếp tục đưa bạn đọc đi qua hành trình thức tỉnh tâm l...",1460,['Nguyên Phong'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'FIRST NEWS'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Root
2,56878836,Sách Muôn Kiếp Nhân Sinh (Bìa Cứng) - Nguyên Phong,170000,228000,58000,25,4.8,298,"MUÔN KIẾP NHÂN SINH - MANY LIVES, MANY TIMESGiáo sư John Vũ – Nguyên Phong và những câu chuyện chưa từng có về tiền kiếp, khám phá luật Nhân quả, Luân hồi.“Muôn kiếp nhân sinh” là tác phẩm do Giáo s...",1504,['Nguyên Phong'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'First News - Trí Việt'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2020-06-01 16:56:29'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '16 x 24 cm'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa cứng'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '424'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Sách tiếng Việt
3,105663942,Hành Trình Về Phương Đông (Tái Bản 2021),83000,118000,35000,30,5.0,71,"Hành Trình Về Phương Đông, một trong những tác phẩm đương đại hay và độc đáo nhất về văn hóa phương Đông vừa tái ngộ bạn đọc trong một diện mạo hoàn toàn mới, sang trọng và ấn tượng. Đây là ấn bản có ...",518,['Baird T Spalding'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'FIRST NEWS'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Thế Giới'}]}]",Sách tiếng Việt
4,243097256,Giận (Tái Bản),108000,135000,27000,20,5.0,41,"Giận là một cuốn sách hay của Thiền sư Thích Nhất Hạnh, nó mở ra cho ta những khả năng kỳ diệu, nhưng lại rất dễ thực hành để ta tự mình từng bước thoát khỏi cơn giận và sống đẹp với xã hội quanh mình...",762,['Thích Nhất Hạnh'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Phương Nam Book'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2023-01-01 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '14 x 20.5 cm'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '248'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Thế Giới'}]}]",Sách Tôn Giáo - Tâm Linh
5,161008717,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),67100,99000,31900,32,5.0,563,"Kiếp nào ta cũng tìm thấy nhau là cuốn sách thứ ba của Brain L. Weiss – một nhà tâm thần học có tiếng. Trước đó ông đã viết hai cuốn sách: cuốn đầu tiên là Ám ảnh từ kiếp trước, cuốn sách mô tả câu ch...",4638,['Brian L Weiss'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Thái Hà'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2022-02-02 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '14 x 20.5 cm'}, {'code': 'dich_gia', 'name': 'Dịch Giả', 'value': 'Du An'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '292'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Lao Động'}]}]",Sách Tôn Giáo - Tâm Linh
6,262404872,Sách Muôn Kiếp Nhân Sinh 3 (Bìa Mềm),163450,218000,54550,25,5.0,2,"MUÔN KIẾP NHÂN SINH – TẬP 3Nối tiếp câu chuyện và tinh thần của tập 1 và tập 2, “Muôn Kiếp Nhân Sinh – tập 3” tiếp tục đưa bạn đọc đi qua hành trình thức tỉnh tâm linh của nhân vật chính Thomas. Khôn...",41,[' Nguyên Phong'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'First News - Trí Việt'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '504'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Sách Tôn Giáo - Tâm Linh
7,54748899,Sách Muôn Kiếp Nhân Sinh (Bìa Mềm) - Nguyên Phong,134400,168000,33600,20,5.0,767,"“Muôn kiếp nhân sinh” là tác phẩm do Giáo sư John Vũ - Nguyên Phong viết từ năm 2017 và hoàn tất đầu năm 2020 ghi lại những câu chuyện, trải nghiệm tiền kiếp kỳ lạ từ nhiều kiếp sống của người bạn tâ...",5000,['Nguyên Phong'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'First News - Trí Việt'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '<p>14.5 x 20.5 cm</p>'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa gập'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '408'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Sách tiếng Việt
8,248446185,Combo Sách Muôn Kiếp Nhân Sinh Tập 1 + Không Diệt Không Sinh Đừng Sợ Hãi (Bộ 2 Cuốn),150120,208500,58380,28,5.0,30,"    Combo Sách Muôn Kiếp Nhân Sinh Tập 1 + Không Diệt Không Sinh Đừng Sợ Hãi (Bộ 2 Cuốn)   1. Muôn Kiếp Nhân Sinh - Many Times, Many Lives   Giáo sư John Vũ – Nguyên Phong và những câu chuyện chư...",306,"['Nguyên Phong', ' Thích Nhất Hạnh']","[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhiều công ty phát hành'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Root
9,100321478,Muốn An Được An (Tái bản 2021),49000,65000,16000,25,5.0,361,Muốn An Được AnNgày chủ nhật và cũng là ngày cuối cùng của tháng 11 năm 2014 tôi nhận được bản thảo cuốn sách Muốn an được an của thiền sư Thích Nhất Hạnh đã được sư cô Hội Nghiêm dịch ra tiếng Việt ...,3536,['Thích Nhất Hạnh'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Thái Hà'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2021-05-14 23:51:22'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '164'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Lao Động'}]}]",Sách Tôn Giáo - Tâm Linh
